Symbol,TableName
MAHLIFE,MAHLIFE
MAHLOG,MAHLOG
MAHSCOOTER,MAHSCOOTER
MAHSEAMLES,MAHSEAMLES
MANAPPURAM,MANAPPURAM
MANKIND,MANKIND
MANYAVAR,MANYAVAR
MAPMYINDIA,MAPMYINDIA
MARICO,MARICO
MARUTI,MARUTI
MASFIN,MASFIN
MASTEK,MASTEK
MAXHEALTH,MAXHEALTH
MAZDOCK,MAZDOCK
MCDOWELL-N,MCDOWELL_N
MCX,MCX
MEDANTA,MEDANTA
MEDPLUS,MEDPLUS
METROBRAND,METROBRAND
METROPOLIS,METROPOLIS
MFSL,MFSL
MGL,MGL
MHRIL,MHRIL
MIDHANI,MIDHANI
MINDACORP,MINDACORP
MMTC,MMTC
MOIL,MOIL
MOTHERSON,MOTHERSUMI
MOTILALOFS,MOTILALOFS
MPHASIS,MPHASIS
MRF,MRF
MRPL,MRPL
MSUMI,MSUMI
MTARTECH,MTARTECH
MUTHOOTFIN,MUTHOOTFIN
NAM-INDIA,NAM_INDIA
NATCOPHARM,NATCOPHARM
NATIONALUM,NATIONALUM
NAUKRI,NAUKRI
NAVINFLUOR,NAVINFLUOR
NAVNETEDUL,NAVNETEDUL
NAZARA,NAZARA
NBCC,NBCC
NCC,NCC
NESCO,NESCO
NESTLEIND,NESTLEIND
NETWORK18-BE,NETWORK18
NFL,NFL
NH,NH
NHPC,NHPC
NIACL,NIACL
NIFTY 50,NIFTY
NIFTY BANK,BANKNIFTY
NIFTY24MARFUT,NIFTYFUT
NILKAMAL,NILKAMAL
NLCINDIA,NLCINDIA
NMDC,NMDC
NOCIL,NOCIL
NSLNISP,NSLNISP
NTPC,NTPC
NUVOCO,NUVOCO
NYKAA,NYKAA
OBEROIRLTY,OBEROIRLTY
OFSS,OFSS
OIL,OIL
OLECTRA,OLECTRA
OMAXE,OMAXE
ONGC,ONGC
ORIENTCEM,ORIENTCEM
ORIENTELEC,ORIENTELEC
PAGEIND,PAGEIND
PATANJALI,PATANJALI
PAYTM,PAYTM
PCBL,PHILIPCARB
PEL,PEL
PERSISTENT,PERSISTENT
PETRONET,PETRONET
PFC,PFC
PFIZER,PFIZER
PGHH,PGHH
PGHL,PGHL
PHOENIXLTD,PHOENIXLTD
PIDILITIND,PIDILITIND
PIIND,PIIND
PNB,PNB
PNBHOUSING,PNBHOUSING
PNCINFRA,PNCINFRA
POLICYBZR,POLICYBZR
POLYCAB,POLYCAB
POLYMED,POLYMED
POLYPLEX,POLYPLEX
POONAWALLA,POONAWALLA
POWERGRID,POWERGRID
POWERINDIA,POWERINDIA
PPLPHARMA,PPLPHARMA
PRAJIND,PRAJIND
PRESTIGE,PRESTIGE
PRINCEPIPE,PRINCEPIPE
PRSMJOHNSN,PRSMJOHNSN
PSPPROJECT,PSPPROJECT
PTC,PTC
PVRINOX,PVR
QUESS,QUESS
RADICO,RADICO
RAIN,RAIN
RAINBOW,RAINBOW
RAJESHEXPO,RAJESHEXPO
RALLIS,RALLIS
RAMCOCEM,RAMCOCEM
RATNAMANI,RATNAMANI
RAYMOND,RAYMOND
RBA,RBA
RBLBANK,RBLBANK
RCF,RCF
RECLTD,RECLTD
REDINGTON,REDINGTON
RELAXO,RELAXO
RELIANCE,RELIANCE
RENUKA,RENUKA
RHIM,ORIENTREF
RITES,RITES
ROSSARI,ROSSARI
ROUTE,ROUTE
RTNINDIA,RTNINDIA
RUSTOMJEE,RUSTOMJEE
RVNL,RVNL
SAFARI,SAFARI
SAIL,SAIL
SANOFI,SANOFI
SAPPHIRE,SAPPHIRE
SAREGAMA,SAREGAMA
SBICARD,SBICARD
SBILIFE,SBILIFE
SBIN,SBIN
SCHAEFFLER,SCHAEFFLER
SCHNEIDER-BE,SCHNEIDER
